id,label
1,cat
2,cat
3,car
4,deer
5,cat
6,plane
7,cat
8,car
9,truck
10,cat
11,bird
12,plane
13,deer
14,car
15,plane
16,deer
17,horse
18,dog
19,plane
20,plane
21,plane
22,car
23,deer
24,cat
25,truck
26,frog
27,bird
28,car
29,deer
30,frog
31,bird
32,cat
33,truck
34,car
35,deer
36,cat
37,truck
38,frog
39,car
40,bird
41,horse
42,plane
43,bird
44,dog
45,truck
46,deer
47,deer
48,horse
49,deer
50,bird
51,deer
52,cat
53,car
54,bird
55,bird
56,cat
57,bird
58,dog
59,truck
60,dog
61,ship
62,cat
63,bird
64,car
65,deer
66,ship
67,dog
68,deer
69,horse
70,car
71,cat
72,cat
73,ship
74,bird
75,ship
76,deer
77,plane
78,deer
79,plane
80,truck
81,cat
82,bird
83,ship
84,horse
85,bird
86,deer
87,truck
88,plane
89,horse
90,frog
91,plane
92,truck
93,bird
94,frog
95,bird
96,plane
97,plane
98,deer
99,bird
100,bird
101,deer
102,plane
103,bird
104,cat
105,cat
106,bird
107,bird
108,ship
109,bird
110,bird
111,dog
112,deer
113,car
114,bird
115,horse
116,dog
117,cat
118,horse
119,bird
120,frog
121,ship
122,truck
123,bird
124,truck
125,plane
126,truck
127,dog
128,deer
129,dog
130,ship
131,horse
132,car
133,frog
134,bird
135,dog
136,bird
137,deer
138,deer
139,frog
140,deer
141,truck
142,deer
143,frog
144,dog
145,cat
146,plane
147,ship
148,truck
149,plane
150,ship
151,plane
152,deer
153,plane
154,dog
155,frog
156,bird
157,deer
158,bird
159,deer
160,deer
161,bird
162,plane
163,deer
164,horse
165,horse
166,cat
167,bird
168,dog
169,ship
170,dog
171,cat
172,bird
173,frog
174,dog
175,plane
176,plane
177,ship
178,horse
179,plane
180,deer
181,cat
182,deer
183,ship
184,cat
185,frog
186,bird
187,car
188,horse
189,bird
190,truck
191,horse
192,ship
193,plane
194,car
195,ship
196,cat
197,deer
198,cat
199,frog
200,truck
201,horse
202,cat
203,dog
204,deer
205,bird
206,frog
207,cat
208,frog
209,cat
210,frog
211,frog
212,deer
213,bird
214,car
215,deer
216,deer
217,plane
218,deer
219,deer
220,plane
221,bird
222,frog
223,deer
224,plane
225,cat
226,frog
227,deer
228,deer
229,truck
230,frog
231,car
232,bird
233,car
234,deer
235,horse
236,dog
237,cat
238,cat
239,cat
240,frog
241,ship
242,deer
243,car
244,cat
245,cat
246,plane
247,truck
248,truck
249,truck
250,cat
251,ship
252,deer
253,dog
254,horse
255,deer
256,cat
257,horse
258,deer
259,deer
260,cat
261,horse
262,truck
263,truck
264,dog
265,truck
266,ship
267,deer
268,ship
269,ship
270,bird
271,ship
272,truck
273,plane
274,ship
275,dog
276,deer
277,frog
278,frog
279,truck
280,deer
281,dog
282,bird
283,plane
284,truck
285,horse
286,plane
287,deer
288,dog
289,horse
290,dog
291,frog
