id,label
1 ,cat
2 ,airplane
3 ,automobile
4 ,ship
5 ,bird
6 ,cat
7 ,airplane
8 ,cat
9 ,bird
10 ,frog
11 ,bird
12 ,deer
13 ,bird
14 ,truck
15 ,dog
16 ,airplane
17 ,deer
18 ,deer
19 ,airplane
20 ,deer
21 ,airplane
22 ,ship
23 ,frog
24 ,automobile
25 ,frog
26 ,truck
27 ,automobile
28 ,cat
29 ,cat
30 ,cat
31 ,cat
32 ,horse
33 ,deer
34 ,frog
35 ,deer
36 ,cat
37 ,cat
38 ,cat
39 ,ship
40 ,automobile
41 ,bird
42 ,frog
43 ,bird
44 ,deer
45 ,horse
46 ,automobile
47 ,deer
48 ,bird
49 ,airplane
50 ,truck
51 ,bird
52 ,bird
53 ,cat
54 ,frog
55 ,ship
56 ,ship
57 ,frog
58 ,deer
59 ,airplane
60 ,cat
61 ,frog
62 ,cat
63 ,deer
64 ,frog
65 ,ship
66 ,truck
67 ,ship
68 ,airplane
69 ,cat
70 ,bird
71 ,truck
72 ,bird
73 ,truck
74 ,cat
75 ,frog
76 ,horse
77 ,bird
78 ,cat
79 ,horse
80 ,deer
81 ,cat
82 ,deer
83 ,ship
84 ,cat
85 ,deer
86 ,frog
87 ,cat
88 ,bird
89 ,frog
90 ,ship
91 ,truck
92 ,airplane
93 ,bird
94 ,deer
95 ,automobile
96 ,frog
97 ,deer
98 ,bird
99 ,truck
100 ,bird
101 ,frog
102 ,airplane
103 ,dog
104 ,cat
105 ,ship
106 ,bird
107 ,automobile
108 ,frog
109 ,frog
110 ,frog
111 ,cat
112 ,bird
113 ,deer
114 ,airplane
115 ,truck
116 ,horse
117 ,truck
118 ,horse
119 ,ship
120 ,cat
121 ,deer
122 ,truck
123 ,horse
124 ,cat
125 ,ship
126 ,cat
127 ,airplane
128 ,dog
129 ,ship
130 ,deer
131 ,bird
132 ,truck
133 ,bird
134 ,frog
135 ,automobile
136 ,cat
137 ,cat
138 ,frog
139 ,cat
140 ,truck
141 ,deer
142 ,dog
143 ,cat
144 ,deer
145 ,horse
146 ,automobile
147 ,cat
148 ,ship
149 ,dog
150 ,frog
151 ,ship
152 ,cat
153 ,cat
154 ,ship
155 ,truck
156 ,horse
157 ,airplane
158 ,ship
159 ,truck
160 ,frog
161 ,cat
162 ,frog
163 ,frog
164 ,dog
165 ,frog
166 ,automobile
167 ,frog
168 ,cat
169 ,truck
170 ,cat
171 ,frog
172 ,cat
173 ,cat
174 ,frog
175 ,bird
176 ,bird
177 ,cat
178 ,automobile
